"Month","Year","Observed","Annual_Recon","Monthly_Recon"
1,1681,NA,5.077,3.07072552798164
2,1681,NA,5.077,2.82619269052829
3,1681,NA,5.077,3.12527936385982
4,1681,NA,5.077,4.8624878416465
5,1681,NA,5.077,11.871558480552
6,1681,NA,5.077,11.0535124810692
7,1681,NA,5.077,6.09405039272464
8,1681,NA,5.077,4.43623925902385
9,1681,NA,5.077,3.63027377606841
10,1681,NA,8.335,3.27475593348696
11,1681,NA,8.335,2.96414630428761
12,1681,NA,8.335,2.78823878351836
1,1682,NA,8.335,2.67752796333467
2,1682,NA,8.335,2.85441625507023
3,1682,NA,8.335,3.43021421032551
4,1682,NA,8.335,9.06952546093367
5,1682,NA,8.335,20.0279795709326
6,1682,NA,8.335,24.4087770240353
7,1682,NA,8.335,12.7292900610371
8,1682,NA,8.335,7.15086963872357
9,1682,NA,8.335,5.80498502865255
10,1682,NA,7.46,4.94838635246607
11,1682,NA,7.46,4.36830592130442
12,1682,NA,7.46,3.84654766034937
1,1683,NA,7.46,3.33660062041242
2,1683,NA,7.46,3.34463331877477
3,1683,NA,7.46,3.49403601884489
4,1683,NA,7.46,6.00889048727124
5,1683,NA,7.46,17.561227058474
6,1683,NA,7.46,19.2470757607863
7,1683,NA,7.46,10.7640721095283
8,1683,NA,7.46,6.56379412048836
9,1683,NA,7.46,5.32453083469652
10,1683,NA,7.677,4.60327647150568
11,1683,NA,7.677,4.11776803975039
12,1683,NA,7.677,3.58277000792345
1,1684,NA,7.677,3.20997444785067
2,1684,NA,7.677,3.24377700439794
3,1684,NA,7.677,3.60206441211703
4,1684,NA,7.677,6.9403967478963
5,1684,NA,7.677,18.172846426979
6,1684,NA,7.677,19.910356283683
7,1684,NA,7.677,11.0572743867749
8,1684,NA,7.677,6.60385183965769
9,1684,NA,7.677,5.37505000303823
10,1684,NA,6.824,4.6341328116506
11,1684,NA,6.824,4.08931587321306
12,1684,NA,6.824,3.60623414082017
1,1685,NA,6.824,3.37982970265559
2,1685,NA,6.824,3.30972173584323
3,1685,NA,6.824,3.47979737855795
4,1685,NA,6.824,6.37277647328634
5,1685,NA,6.824,15.8154447714207
6,1685,NA,6.824,14.5810025860026
7,1685,NA,6.824,8.1326305566914
8,1685,NA,6.824,5.31090735283861
9,1685,NA,6.824,4.41318506585997
10,1685,NA,6.872,3.90938588251972
11,1685,NA,6.872,3.54435385236539
12,1685,NA,6.872,3.36092060439747
1,1686,NA,6.872,3.00169496976321
2,1686,NA,6.872,2.9647363383418
3,1686,NA,6.872,3.23138954216225
4,1686,NA,6.872,6.97320089033939
5,1686,NA,6.872,15.9434077397558
6,1686,NA,6.872,14.8755430442
7,1686,NA,6.872,7.96201035102137
8,1686,NA,6.872,5.30171404801051
9,1686,NA,6.872,4.34872213966177
10,1686,NA,8.977,3.85903471275597
11,1686,NA,8.977,3.5375681272943
12,1686,NA,8.977,3.22109243335054
1,1687,NA,8.977,2.99157992720502
2,1687,NA,8.977,3.15318309803667
3,1687,NA,8.977,3.45190893511299
4,1687,NA,8.977,7.38006219421961
5,1687,NA,8.977,21.7875275289461
6,1687,NA,8.977,27.4961770939233
7,1687,NA,8.977,15.1597128896642
8,1687,NA,8.977,8.11141842062501
9,1687,NA,8.977,6.46559212494561
10,1687,NA,9.218,5.457659569425
11,1687,NA,9.218,4.82700327419493
12,1687,NA,9.218,4.10716440393335
1,1688,NA,9.218,3.71253540022806
2,1688,NA,9.218,3.60653062137352
3,1688,NA,9.218,4.06176805741705
4,1688,NA,9.218,8.78896604625638
5,1688,NA,9.218,22.427225708049
6,1688,NA,9.218,27.0214546170999
7,1688,NA,9.218,14.0595262127715
8,1688,NA,9.218,8.23331170968375
9,1688,NA,9.218,6.42023972737977
10,1688,NA,6.601,5.47832100105038
11,1688,NA,6.601,4.7141539207622
12,1688,NA,6.601,4.05560410445819
1,1689,NA,6.601,3.61465464577686
2,1689,NA,6.601,3.39414830764495
3,1689,NA,6.601,3.53276745012302
4,1689,NA,6.601,6.4409049638477
5,1689,NA,6.601,15.2319521863591
6,1689,NA,6.601,13.8738175351818
7,1689,NA,6.601,7.40387213209838
8,1689,NA,6.601,5.29731762555337
9,1689,NA,6.601,4.38618744862416
10,1689,NA,6.313,3.90422234182881
11,1689,NA,6.313,3.58891440865981
12,1689,NA,6.313,3.23045685645528
1,1690,NA,6.313,2.88905888092757
2,1690,NA,6.313,2.8058538011653
3,1690,NA,6.313,3.12694638270652
4,1690,NA,6.313,6.20160539468925
5,1690,NA,6.313,14.5088961632632
6,1690,NA,6.313,14.1447121441452
7,1690,NA,6.313,7.45368344571999
8,1690,NA,6.313,5.10877783549731
9,1690,NA,6.313,4.16653061470583
10,1690,NA,7.556,3.69025028854522
11,1690,NA,7.556,3.34677642268142
12,1690,NA,7.556,3.05613697697328
1,1691,NA,7.556,2.91862760226329
2,1691,NA,7.556,2.97257406516181
3,1691,NA,7.556,3.38669600223303
4,1691,NA,7.556,7.46816491517349
5,1691,NA,7.556,17.8313140271056
6,1691,NA,7.556,19.8994220803455
7,1691,NA,7.556,10.6222450701889
8,1691,NA,7.556,6.40309008751213
