"year","logan2013","bear2015","weber2014","riogrande2013","yeruu2012","alamosa","american","animas","arkansascanoncity","bigthompson","bluedillon","bluegreenmtn","boulderorodell","canadian","cleargolden","coloradocisco","coloradoglenwood","coloradogranby","coloradohotsulphur","coloradokremmling","coloradoleesmeko","coloradoleeswoodhouse","conejos","dolores","eastfork","featheroroville","featherupdate","fontanellecrk","frasergranby","fraserwinterpark","gila","greendaniel_0","greenfontanelle","greengreendale","greengreenrivut","greengreenrivwy","greengreenrivwybarnett","gunnisoncrystal","gunnisongrandjct","hamsfork","klamath","littlepopoagie","littlesnake","merced","nforksplatte","pinecrk_1","potomac","poudre","riograndedelnorte","riograndeotowinatural","riograndeotowinrcs..1.","riograndeotowinrcs","roaringfork","sacramento","sacramento4","sacramentofour","saguache","salinas","salt.tonto","salt.verde.tonto","san.joaquin","san.joaquin4","sanjuanarchuleta","sanjuanbluff","santafe_recon_short","santafe_recon_long","snakeheise","snakeirwin","snakemoran","soboulder","splattecheesman","splattesplatte","stanislaus","stvrain","trinity","tuolumne","verde","white","williamsfork","willowcreekres","winddubois","yampa","yuba"
1614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187833743391479,0.187833743391479,206.413847251892,185.719330910407,42.2855041165978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.280485991350118,0.280485991350118,208.393237415352,195.042047507896,42.0852589387264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119387399110576,0.119387399110576,224.378493747087,206.937267743181,46.1786565587551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18582105182563,0.18582105182563,234.619062631669,214.708250333971,47.4953575272846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253601341713799,0.253601341713799,178.765863036615,165.131718836242,37.0073257847868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12681750272858,0.12681750272858,173.878285927226,153.915526363983,35.9106482607699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.283819536226041,0.283819536226041,203.441556833055,188.323612672273,42.1678898788045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338781234478253,0.338781234478253,188.614423549369,166.40022493764,39.903161085935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18306996541057,0.18306996541057,209.700244687979,189.595675734668,43.0165573201366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253729814063629,0.253729814063629,253.728190643177,236.544824767794,52.0366586205182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
