"month","year","logan2013","bear2015","weber2014"
2,823,NA,6.39,NA
3,823,NA,6.39,NA
4,823,NA,6.39,NA
5,823,NA,6.39,NA
6,823,NA,6.39,NA
7,823,NA,6.39,NA
8,823,NA,6.39,NA
9,823,NA,6.39,NA
10,823,NA,4.908,NA
11,823,NA,4.908,NA
12,823,NA,4.908,NA
1,824,NA,4.908,NA
2,824,NA,4.908,NA
3,824,NA,4.908,NA
4,824,NA,4.908,NA
5,824,NA,4.908,NA
6,824,NA,4.908,NA
7,824,NA,4.908,NA
8,824,NA,4.908,NA
9,824,NA,4.908,NA
10,824,NA,5.626,NA
11,824,NA,5.626,NA
12,824,NA,5.626,NA
1,825,NA,5.626,NA
2,825,NA,5.626,NA
3,825,NA,5.626,NA
4,825,NA,5.626,NA
5,825,NA,5.626,NA
6,825,NA,5.626,NA
7,825,NA,5.626,NA
8,825,NA,5.626,NA
9,825,NA,5.626,NA
10,825,NA,5.451,NA
11,825,NA,5.451,NA
12,825,NA,5.451,NA
1,826,NA,5.451,NA
2,826,NA,5.451,NA
3,826,NA,5.451,NA
4,826,NA,5.451,NA
5,826,NA,5.451,NA
6,826,NA,5.451,NA
7,826,NA,5.451,NA
8,826,NA,5.451,NA
9,826,NA,5.451,NA
10,826,NA,5.193,NA
11,826,NA,5.193,NA
12,826,NA,5.193,NA
1,827,NA,5.193,NA
2,827,NA,5.193,NA
3,827,NA,5.193,NA
4,827,NA,5.193,NA
5,827,NA,5.193,NA
6,827,NA,5.193,NA
7,827,NA,5.193,NA
8,827,NA,5.193,NA
9,827,NA,5.193,NA
10,827,NA,4.453,NA
11,827,NA,4.453,NA
12,827,NA,4.453,NA
1,828,NA,4.453,NA
2,828,NA,4.453,NA
3,828,NA,4.453,NA
4,828,NA,4.453,NA
5,828,NA,4.453,NA
6,828,NA,4.453,NA
7,828,NA,4.453,NA
8,828,NA,4.453,NA
9,828,NA,4.453,NA
10,828,NA,3.679,NA
11,828,NA,3.679,NA
12,828,NA,3.679,NA
1,829,NA,3.679,NA
2,829,NA,3.679,NA
3,829,NA,3.679,NA
4,829,NA,3.679,NA
5,829,NA,3.679,NA
6,829,NA,3.679,NA
7,829,NA,3.679,NA
8,829,NA,3.679,NA
9,829,NA,3.679,NA
10,829,NA,4.649,NA
11,829,NA,4.649,NA
12,829,NA,4.649,NA
1,830,NA,4.649,NA
2,830,NA,4.649,NA
3,830,NA,4.649,NA
4,830,NA,4.649,NA
5,830,NA,4.649,NA
6,830,NA,4.649,NA
7,830,NA,4.649,NA
8,830,NA,4.649,NA
9,830,NA,4.649,NA
10,830,NA,4.186,NA
11,830,NA,4.186,NA
12,830,NA,4.186,NA
1,831,NA,4.186,NA
2,831,NA,4.186,NA
3,831,NA,4.186,NA
4,831,NA,4.186,NA
5,831,NA,4.186,NA
6,831,NA,4.186,NA
7,831,NA,4.186,NA
8,831,NA,4.186,NA
9,831,NA,4.186,NA
10,831,NA,3.887,NA
11,831,NA,3.887,NA
12,831,NA,3.887,NA
1,832,NA,3.887,NA
2,832,NA,3.887,NA
3,832,NA,3.887,NA
4,832,NA,3.887,NA
5,832,NA,3.887,NA
6,832,NA,3.887,NA
7,832,NA,3.887,NA
8,832,NA,3.887,NA
9,832,NA,3.887,NA
10,832,NA,4.802,NA
11,832,NA,4.802,NA
12,832,NA,4.802,NA
1,833,NA,4.802,NA
2,833,NA,4.802,NA
3,833,NA,4.802,NA
4,833,NA,4.802,NA
5,833,NA,4.802,NA
6,833,NA,4.802,NA
7,833,NA,4.802,NA
8,833,NA,4.802,NA
9,833,NA,4.802,NA
10,833,NA,5.492,NA
11,833,NA,5.492,NA
12,833,NA,5.492,NA
1,834,NA,5.492,NA
2,834,NA,5.492,NA
3,834,NA,5.492,NA
4,834,NA,5.492,NA
5,834,NA,5.492,NA
6,834,NA,5.492,NA
7,834,NA,5.492,NA
8,834,NA,5.492,NA
9,834,NA,5.492,NA
10,834,NA,5.74,NA
11,834,NA,5.74,NA
12,834,NA,5.74,NA
1,835,NA,5.74,NA
2,835,NA,5.74,NA
3,835,NA,5.74,NA
4,835,NA,5.74,NA
5,835,NA,5.74,NA
6,835,NA,5.74,NA
7,835,NA,5.74,NA
8,835,NA,5.74,NA
9,835,NA,5.74,NA
10,835,NA,4.558,NA
11,835,NA,4.558,NA
12,835,NA,4.558,NA
1,836,NA,4.558,NA
2,836,NA,4.558,NA
3,836,NA,4.558,NA
4,836,NA,4.558,NA
5,836,NA,4.558,NA
6,836,NA,4.558,NA
7,836,NA,4.558,NA
8,836,NA,4.558,NA
9,836,NA,4.558,NA
10,836,NA,4.102,NA
11,836,NA,4.102,NA
12,836,NA,4.102,NA
1,837,NA,4.102,NA
2,837,NA,4.102,NA
3,837,NA,4.102,NA
4,837,NA,4.102,NA
5,837,NA,4.102,NA
6,837,NA,4.102,NA
7,837,NA,4.102,NA
8,837,NA,4.102,NA
9,837,NA,4.102,NA
10,837,NA,3.343,NA
11,837,NA,3.343,NA
12,837,NA,3.343,NA
1,838,NA,3.343,NA
2,838,NA,3.343,NA
3,838,NA,3.343,NA
4,838,NA,3.343,NA
5,838,NA,3.343,NA
6,838,NA,3.343,NA
7,838,NA,3.343,NA
8,838,NA,3.343,NA
9,838,NA,3.343,NA
10,838,NA,3.043,NA
11,838,NA,3.043,NA
