"Month","Year","Observed","Annual_Recon","Monthly_Recon"
1,1565,NA,7.382978142,1.69542507736985
2,1565,NA,7.382978142,1.71679273975766
3,1565,NA,7.382978142,1.96931845944093
4,1565,NA,7.382978142,4.10832512708278
5,1565,NA,7.382978142,22.1407975025081
6,1565,NA,7.382978142,32.7522533473555
7,1565,NA,7.382978142,8.95405647238193
8,1565,NA,7.382978142,3.76780437697049
9,1565,NA,7.382978142,2.68300879575657
10,1565,NA,5.347410597,2.19943045240044
11,1565,NA,5.347410597,1.96035829788267
12,1565,NA,5.347410597,1.67736817979109
1,1566,NA,5.347410597,1.67980027547459
2,1566,NA,5.347410597,1.63592988865228
3,1566,NA,5.347410597,1.88451241737105
4,1566,NA,5.347410597,4.47940146069088
5,1566,NA,5.347410597,15.0868981527947
6,1566,NA,5.347410597,19.1164126619067
7,1566,NA,5.347410597,5.40546066229357
8,1566,NA,5.347410597,3.04387111915167
9,1566,NA,5.347410597,2.44804502755424
10,1566,NA,5.705762232,2.04942504750673
11,1566,NA,5.705762232,1.82525941309295
12,1566,NA,5.705762232,1.62373508971727
1,1567,NA,5.705762232,1.44305303724241
2,1567,NA,5.705762232,1.47199958967588
3,1567,NA,5.705762232,1.76298457004865
4,1567,NA,5.705762232,4.30175516829899
5,1567,NA,5.705762232,16.5106642589184
6,1567,NA,5.705762232,20.0473207250239
7,1567,NA,5.705762232,5.22692226648991
8,1567,NA,5.705762232,2.95005093667356
9,1567,NA,5.705762232,2.32903809826501
10,1567,NA,5.011032954,1.9013747075792
11,1567,NA,5.011032954,1.73718932816773
12,1567,NA,5.011032954,1.5149835830179
1,1568,NA,5.011032954,1.51963687146035
2,1568,NA,5.011032954,1.50646248214208
3,1568,NA,5.011032954,1.68658382635409
4,1568,NA,5.011032954,4.50770831684256
5,1568,NA,5.011032954,16.8623089622775
6,1568,NA,5.011032954,15.8687130065679
7,1568,NA,5.011032954,4.52736165501244
8,1568,NA,5.011032954,2.74270249289109
9,1568,NA,5.011032954,2.17333565061861
10,1568,NA,5.689706493,2.03137922836993
